Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
5167,ibuprofen,ESI-,DTXCID50233321,FALSE,368,0.08,,0.51,2.50,43,,288,17
5167,ibuprofen,ESI-,DTXCID50276394,FALSE,368,0.04,,0.68,2.50,99,,199,17
5167,ibuprofen,ESI-,DTXCID50278898,FALSE,368,0.06,,0.80,1.50,63,,129,30
5167,ibuprofen,ESI-,DTXCID5030953,FALSE,368,0.06,,0.70,1.88,61,,189,27
5167,ibuprofen,ESI-,DTXCID50401705,FALSE,368,0.03,,0.74,1.50,130,,164,30
5167,ibuprofen,ESI-,DTXCID50452136,FALSE,368,0.03,,0.59,1.50,149,,254,30
5167,ibuprofen,ESI-,DTXCID50462432,FALSE,368,0.04,,0.75,1.50,120,,158,30
5167,ibuprofen,ESI-,DTXCID50466834,FALSE,368,0.01,,0.76,2.50,226,,148,17
5167,ibuprofen,ESI-,DTXCID5047031,FALSE,368,0.38,,0.73,4.00,8,,167,2
5167,ibuprofen,ESI-,DTXCID505403,FALSE,368,1.08,,0.46,2.69,3,,322,10
5167,ibuprofen,ESI-,DTXCID50562623,FALSE,368,0.01,,0.40,2.00,224,,354,23
5167,ibuprofen,ESI-,DTXCID50596645,FALSE,368,0.01,,1.03,1.50,219,,51,30
5167,ibuprofen,ESI-,DTXCID50658555,FALSE,368,0.01,,0.73,2.00,230,,172,23
5167,ibuprofen,ESI-,DTXCID50710324,FALSE,368,0.01,,0.66,2.50,230,,222,17
5167,ibuprofen,ESI-,DTXCID50779512,FALSE,368,0.01,,1.13,1.50,219,,44,30
5167,ibuprofen,ESI-,DTXCID5083960,FALSE,368,0.09,,0.74,1.50,38,,166,30
5167,ibuprofen,ESI-,DTXCID50857521,FALSE,368,0.02,,0.46,1.50,176,,324,30
5167,ibuprofen,ESI-,DTXCID50866754,FALSE,368,0.02,,0.84,2.00,167,,117,23
